authors,year,title,journal,text
"Abo-Madyan, Y., et al.",2013,Cosmetic outcome of hypofractionated breast cancer intensity modulated radiation therapy: A preliminary report of a prospective trial.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): To compare the cosmetic outcome and early side effects between hypofractionated (HF) and normofractionated (NF) tangential intensity modulated radiation therapy (tIMRT) as part of breast conserving therapy of early stage breast cancer. Materials/Methods: To date, 80 early breast cancer patients older than 60 years were stratified in two groups, 43 right-sided patients to 40 Gy in 15 fractions and 37 left-sided to 50 Gy in 25 fractions. A 16 Gy boost was added to patients younger than 70 years. tIMRT was performed according to strict dosimetric limits to ensure dose homogeneity. Weekly cone beam CT was performed to enhance treatment accuracy. Based on CTC-AE v3 and LENT-SOMA scales treatment related toxicity was prospectively documented. We report on early adverse effects at 1 and 6 weeks after end of RT compared to baseline pre-RT signs and symptoms. Results: Both groups had minor differences in average breast size (1105 cc right vs 1147 cc left) and number of patients receiving a boost (around 50% in each). Median age was 69 years in each group. Dose homogeneity did not differ significantly between both groups. In the HF and NF groups the peak incidence of acute dermatitis was at 1 week with 11.6 and 10.8% G2-dermatitis, respectively. At 6 weeks only maximum of G1-dermatitis in 20 and 16% was still observed. Hyperpigmentation was persistent between the 1st and 6th weeks and was higher in the NF group with G1+2 hyperpigmentation in 56.8% compared to 39.5% in the HF group. Breast edema reached a peak at 1 week and tended to be less incident in the HF group with G1+2 edema in 23.3% vs 32.4% in the NF group. Breast retraction was evident in around 8% of patients in both groups at baseline. It increased to 21% in the HF group at 1 week vs 16% in the NF group. However, at 6 weeks incidence was close again at 16.3% and 18.9%, respectively. No grade 3 or 4 adverse effects were observed in all previously mentioned outcome points. At 1 week G2 breast pain was doubled (to a total of 12.5%) in both groups then dropped again to baseline values (6.25%) after 6 weeks. A maximum of G3 breast pain was observed in 1 patient in each group (total 2.5%) at 6 weeks. Conclusions: tIMRT as part of breast conserving therapy causes minor acute side effects. The hypofractionated treatment schedule was generally better tolerated and caused relatively less cosmetic disfigurement in the early post therapeutic phase."
"Abo-Madyan, Y., et al.",2016,Intraoperative (IORT) versus whole-breast radiation therapy (WBRT) for early breast cancer: Single-center results from the randomized phase 3 targit-A trial.,International Journal of Radiation Oncology,"Purpose/Objective(s): For a selected group of breast cancer patients, partial breast irradiation in the form of IORT added to breast conserving surgery is non-inferior to WBRT. Here we present the results of patients treated in our center as a part of the TARGIT-A trial. Materials/Methods: Patients ( ± 45 y) with cT1 (< 2 cm) cN0 cM0 and invasive ductal histology on biopsy were randomized between immediate post-resection IORT (Arm-A) or post-operative WBRT (Arm-B). IORT was delivered using a 50kV mini accelerator and spherical applicators up to 20 Gy. WBRT was delivered up to 50-56 Gy in 2 Gy fractions. Postoperatively, patients in Arm-A with extensive ductal component, invasive lobular carcinoma, multifocality, lymph vessel invasion or small resection margins (< 1cm) received post-operative WBRT up to 46 Gy and those with lymph node metastases with 50 Gy to the breast and lymphatics. Results: Between 2002 and 2012, 185 patients were randomized, 91 in Arm-A and 94 in Arm-B. Two of the patients in Arm-B never showed for follow up and were removed from further analysis. Median follow up was 74 months (Arm-A: 74 month, Arm-B: 75 months). The median age at randomization was 65 years. At the last follow-up the median patients' age was 70 years. According to intention to treat analysis, the 5 year overall survival (OAS) was 94.9% in Arm-A and 92.7% in Arm-B ( P = 0.948). The 5 year local recurrence free survival was 100% in Arm-A and 98.8% in Arm-B with only one local recurrence diagnosed after 4.5 months of follow-up. The 5 year in-breast-recurrence/second primary free survival (out of index quadrant) was 98.9% with one recurrence in each study arm 86 and 43 months after surgery. Both patients had received WBRT as part of their treatment. Conclusion: The local recurrence rate after single dose IORT for early breast cancer in our local cohort with mature follow-up is extremely low."
"Acharya, S., et al.",2016,Distance to radiation facility and treatment choice in early-stage breast cancer.,International Journal of Radiation Oncology Biology Physics,"Purpose Breast-conserving therapy (BCT) is a recommended alternative to mastectomy (MT) for early-stage breast cancer. Limited access to radiation therapy (RT) may result in higher rates of MT. We assessed the association between distance to the nearest RT facility and the use of MT, in a modern cohort of women. Methods and Materials Women with stage 0-II breast cancer eligible for BCT diagnosed from 2004 to 2010 were identified from the Florida Cancer Data System (FCDS). Distances from patient census tracts to the nearest RT facility census tract were calculated. Multivariate logistic regression was used to identify explanatory variables that influenced MT use. Results Of the 27,489 eligible women, 32.1% (n=8841) underwent MT, and 67.8% (n=18,648) underwent BCS. Thirty-two percent of patients lived in a census tract that was >5 miles from an RT facility. MT use increased with increasing distance to RT facility (31.1% at ≤5 miles, 33.8% at >5 to <15 miles, 34.9% at 15 to <40 miles, and 51% at ≥40 miles, P<.001). The likelihood was that MT was independently associated with increasing distance to RT facility on multivariate analysis (P<.001). Compared to patients living <5 miles away from an RT facility, patients living 15 to <40 miles away were 1.2 times more likely to be treated with MT (odds ratio [OR]: 1.19, 95% confidence interval [CI]: 1.05-1.35, P<.01), and those living ≥40 miles away were more than twice as likely to be treated with MT (OR: 2.17, 95% CI: 1.48-3.17, P<.001). However, in patients younger than 50 years (n=5179), MT use was not associated with distance to RT facility (P=.235). Conclusions MT use in a modern cohort of women is independently associated with distance to RT facility. However, for young patients, distance to RT is not a significant explanatory variable for MT use."
"Agarwal, S., et al.",2015,Meta-analysis of standard versus hypofractionated whole-breast radiation therapy as part of breast conserving therapy for early-stage breast cancer.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Breast conservation therapy (BCT) for early stage breast cancer involves tumor directed surgery, such as lumpectomy or segmental breast resection, followed by whole breast radiation therapy. Both standard radiation therapy (SRT) and hypofractionated, accelerated whole breast RT (ART) are acceptable options. This meta-analysis of randomized trials aims to determine whether SRT or ART offers improved disease control and/or less toxicity in the context of a large combined dataset. The primary objective was to assess the local (in breast) control of each radiation schedule. Secondary objectives included measures of regional/distant failure, disease-free survival, cause-specific survival, overall survival, acute and late cosmetic toxicity, as well as other measures of chronic toxicity. Materials/Methods: MEDLINE (1966-2014), all 7 databases of the Cochrane Library (1968-2014), and EMBASE (1974-2014) were searched for relevant clinical trials. In addition, Clinicaltrials.gov, ISRCTN, and WHO ICTRP, and meeting abstracts in theWeb of Science Core Collection (1900-2014) were included in the search. Searches were conducted from October 18, 2014 to November 28, 2014. RCTs comparing SRT versus ART among adult women undergoing BCT with stage T1-T2, nodenegative breast cancer or carcinoma in situ. Endpoint follow-up was specified as at least 30 days from the start of RT (acute toxicity) or 3 years from its completion, for assessment of disease control or late toxicity. Five independent reviewers examined 4,265 search results, and 14 trials met our inclusion criteria. Data were abstracted by two independent reviewers for each eligible study. Results: Fourteen trials with 8,712 participants were included. Based upon seven trials, we detected similar risk of local failure between the two arms (RR 0.97; 95% CI 0.78-1.19, I2 = 0%). From eight trials, a similar risk of loco-regional failure (RR 0.86; 95% CI 0.63-1.16, I2=0%), and from four trials, an equivalent risk of breast cancer death (RR 1.00; 95% CI 0.85- 1.17, I2 = 0%) were determined. Based on five trials, ART trended toward less acute toxicity (RR 0.42; 95% CI 0.16-1.11, I2 = 44%) though no differences were noted in late cosmesis (RR 0.95; 95% CI 0.81-1.12, I2 = 54%). Conclusion: Evidence from a meta-analysis of 14 randomized trials illustrates that ART use does not reduce local control, and may decrease the risk of acute toxicity as compared to SRT."
"Ahlawat, S., et al.",2014,"Accelerated, hypofractionated whole-breast radiation therapy in women with breast cancer: A phase 2 trial.",International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Breast conserving therapy has become standard of care in treating early stage breast cancer. Standard course whole breast irradiation (WBI) takes approximately 6 weeks. The promise of shortcourse WBI lies in the added convenience it may offer to patients. Given excellent cure rates and low morbidity with current adjuvant radiation therapy technique and fractionation, it is natural that subsequent improvements in the field take convenience and economic impact into account. We evaluated a short course of hypofractionated, accelerated whole breast irradiation (AWBI) in which the goal was to complete therapy in 3 weeks inclusive of a sequential boost. Our primary endpoint was freedom from locoregional failure; we incorporated early stopping criteria based on predefined toxicity thresholds. Cosmesis was examined as a secondary endpoint. Materials/Methods: We conducted a prospective, single arm study of patients with DCIS or early stage invasive carcinoma receiving AWBI and a tumor bed boost after lumpectomy. We delivered a whole breast dose of 36.63 Gy in 11 fractions of 3.33 Gy delivered over 11 days, 1 fraction per day (EQD2 = 45 Gy). Patients received a mandatory lumpectomy bed boost delivered in 4 fractions of 3.33 Gy delivered once daily (EQD2Z15 Gy). We allowed treatment of regional lymph nodes if indicated, as well as treatment in the prone position. Acute toxicities were scored using CTCAE v 4. Late toxicities were scored using the RTOG/EORTC scale. Cosmesis was scored using the Harvard Cosmesis Scale. Results: We enrolled 83 women between 2009 and 2012 with Stage 0-IIIa breast cancer. Median follow-up is 33 months. Median age at AWBI is 53.4 with a range of 33.1-79.1 years. Thirty percent of patients were less than 50 years old at AWBI. There were no grade 4 or 5 toxicities. One patient experienced grade 3 and 2 patients had grade 2 toxicity. In regards to local control, there were 2 cases of isolated ipsilateral breast tumor recurrence (IBTR) (2/83, crude rate 2.4%). One patient had simultaneous IBTR and distant metastases, while another, had an in breast secondary malignancy (angiosarcoma). Breast cosmesis evaluation revealed that 89% of patients had good/excellent cosmesis. Conclusions: Our phase 2 institutional study offers one of the shortest courses of AWBI-delivered in 15 fractions with a boost. We demonstrated expected low toxicity and high local control rates with this novel fractionation scheme. Patients enrolled in this study had good-excellent cosmetic outcomes. We believe our fractionation scheme is feasible and offers women WBI in a highly convenient schedule. We have opened accrual to an expanded cohort of patients to this study for a descriptive analysis of long-term cosmesis."
"Ahlawat, S., et al.",2010,Riluzole increases ionizing radiation related cellular toxicity in metabotropic glutamate receptor 1 positive human breast cancer cells.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Abnormal glutamate signaling has been implicated in the tumorigenesis of breast cancer. Riluzole, a drug used in the treatment of amyotrophic lateral sclerosis (ALS), decreases metabotropic glutamate receptor 1 (GRM1) activity via glutamate depletion. GRM1 is a member of the seven-transmembrane G-protein coupled receptors for which glutamate is a ligand. Riluzole's action on GRM1 positive cancer cells results in cell cycle arrest in G2/M phase followed by apoptosis. Therapy targeting glutamate signaling may offer a new avenue in cancer treatment. We hypothesize GRM1 positive breast cancer cells will have increased cell kill when treated with ionizing radiation (IR) and riluzole. Materials/Methods: GRM1 immunohistochemical (IHC) expression was examined in a tissue microarray (TMA) of 504 patients with early stage breast cancer treated with breast conserving surgery and radiation therapy. GRM1 expression was correlated with clinico-pathologic factors and outcomes such as ipsilateral breast tumor recurrence (IBTR), nodal failure (NF), locoregional failure (LRF), distant metastasis-free survival (DMFS), and overall survival (OS). T47D, human breast cancer cells were used in clonogenic assays to assess cell survival following treatment with IR and riluzole. Western immunoblots were used to examine expression of GRM1 and to look for the apoptotic marker cleaved PARP in treated T47D cells. Double stranded DNA damage (DSD) marker gamma-H2AX (γ-H2AX) was detected using microscopic immunofluorescent visualization in treated T47D cells. Results: TMA analysis revealed that increased GRM1 expression was prognostic for IBTR by univariate and multivariate analysis (p = 0.0021), but did not predict for NF, LRF, DMFS, or OS. In T47D cells, riluzole increased cellular toxicity at 2, 4, 6, and 8 Gy with a 36% reduction in cell survival at 2 Gy (p = 0.002), a 15% reduction at 4 Gy (p = 0.006), and a 5.93% reduction at 6 Gy (p = 0.01). Western immunoblots confirmed GRM1 expression. Immunoblots probed with cleaved PARP showed increased apoptosis at 48 and 72 hours after IR and riluzole treatment. Immunofluorescent analysis revealed an increase in the average number of g- H2AX foci per cell in riluzole treated cells at 0 and 2 Gy (p<0.001). Conclusions: In our cohort of early-stage breast cancer patients, ectopic GRM1 expression by IHC was prognostic for IBTR. Furthermore, GRM1-expressing cells treated with IR and riluzole were found to have increased cellular toxicity and enhanced apoptosis with increased DSD as demonstrated by T47D survival curves, immunoblot analysis, and immunofluorescence, respectively. The glutamergic signaling pathway represents a novel therapeutic target for the enhancement of radiation-induced cytotoxicity."
"Ahmad, M., et al.",2017,Reduced mean cardiac dose: An additional benefit of hypofractionated whole breast radiotherapy?,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Mean heart dose (MHD) has been widely accepted as a predictor of long term cardiac toxicity. Additionally, it is known that MHD from whole breast radiation is largely attributable to internal low-isodose scatter. The goal of the present study was to evaluate the impact of different whole breast radiation regimens on MHD on patients enrolled in a phase 2 institutional protocol. Purpose/Objective(s): Patients with left-sided Stage 0-II breast cancer who were treated on an institutional protocol in which they received once-weekly whole-breast irradiation (WHBI) to a dose of 2850-3000cGy in 5 fractions were the subject of this analysis. These patients were subsequently re-planned, and MHD was re-calculated using two alternative radiation regimens: conventionally-fractionated (CFRT) and daily hypofractionated (HFRT) radiotherapy (5000cGy in 25 fractions and 4256cGy in 16 fractions, respectively). Ideal MHD was defined as less than 200cGy, which is consistent with established heart dose objectives. Results: A total of 228 plans were generated from 76 patients with left-sided Stage 0-II breast cancer who were treated on a phase 2 protocol. Most of these patients were postmenopausal females (87%) with ER positive tumors (75%) in the outer quadrant of the breast (69%). All patients underwent breast conservation surgery, and the majority did not receive systemic therapy (75%). Of the 76 patients treated with WHBI, 69 (91%) had a MHD less than 200cGy. When the same 76 patients were re-planned, only 58 (76%) of CFRT plans and 42 (55%) of HFRT plans had MHDs that were less than 200cGy. The average MHDs were 1.14Gy, 1.62Gy, 1.97Gy for the WHBI, HFRT, and CFRT regimens. Using the reported 7.4% increase in coronary event rate per Gy established by Darby et al, the detected increase in MHD for HFRT corresponds to a 3.5% (CI: 1.4% to 6.9%) elevated risk of coronary events and for CFRT a 6.1% (CI: 2.4% to 12.0%)elevated risk of coronary events, both relative to WHBI. Conclusion: WHBI is an emerging strategy in the treatment of early-stage breast cancer that may offer improved MHD and thus theoretically reduced estimated risk of coronary event relative to traditional regimens. More study is needed to determine whether MHD vs. anatomic dose-volume metrics is the best method of estimating late-cardiac risk in the era of emerging alternative fractionation schemes."
"Akimoto, T., et al.",2001,Clinically evident fat necrosis in women treated with high-dose-rate brachytherapy alone for early-stage breast cancer.,International Journal of Radiation Oncology Biology Physics,"Purpose: To investigate the incidence of and variables associated with clinically evident fat necrosis in women treated on a protocol of high-dose-rate (HDR) brachytherapy alone without external-beam whole-breast irradiation for early-stage breast carcinoma. Methods and Materials: From 6/1997 until 8/1999, 30 women diagnosed with Stage I or II breast carcinoma underwent surgical excision and postoperative irradiation via HDR brachytherapy implant as part of a multi-institutional clinical Phase I/II protocol. Patients eligible included those with T1, T2, N0, N1 (≤ 3 nodes positive), M0 tumors of nonlobular histology with negative surgical margins, no extracapsular lymph-node extension, and a negative postexcision mammogram. Brachytherapy catheters were placed at the initial excision, re-excision, or at the time of axillary sampling. Direct visualization, surgical clips, ultrasound, or CT scans assisted in delineating the target volume defined as the excision cavity plus 2-cm margin. High activity 192Ir (3-10 Ci) was used to deliver 340 cGy per fraction, 2 fractions per day, for 5 consecutive days to a total dose of 34 Gy to the target volume. Source position and dwell times were calculated using standard volume optimization techniques. Dosimetric analyses were performed with three-dimensional postimplant dose and volume reconstructions. The median follow-up of all patients was 24 months (range, 12-36 months). Results: Eight patients (crude incidence of 27%) developed clinically evident fat necrosis postimplant in the treated breast. Fat necrosis was determined by clinical presentation including pain and swelling in the treated volume, computed tomography, and/or biopsy. All symptomatic patients (7 of 8 cases) were successfully treated with 3 to 12 months of conservative management. Continuous variables that were found to be associated significantly with fat necrosis included the number of source dwell positions (p = 0.04), and the volume of tissue which received fractional doses of 340 cGy, 510 cGy, and 680 cGy (p = 0.03, p = 0.01, and p = 0.01, respectively). Other continuous variables including patient age, total excised tissue volume, tumor size, number of catheters, number of days the catheters were in place, planar separation, dose homogeneity index (DHI), and uniformity index (UI) were not significant. Discrete variables including the presence/absence of DCIS, sentinel versus full axillary nodal assessment, receptor status, presence/absence of diabetes, and the use of chemotherapy or hormone therapy were not found to have a significant association with the risk of fat necrosis. Conclusions: In this study of HDR brachytherapy of the breast tumor excision cavity plus margin, treatment was planned and delivered in accordance with the dosimetric parameters of the protocol resulting in a high degree of target volume dose homogeneity. Nonetheless, at a median follow-up of 24 months, a high rate of clinically definable fat necrosis occurred. The overall implant volume as reflected in the number of source dwell positions and the volume of breast tissue receiving fractional doses of 340, 510, and 680 cGy were significantly associated with fat necrosis. Future dosimetric optimization algorithms for HDR breast brachytherapy will need to include these factors to minimize the risk of fat necrosis. Copyright  Science Inc."
"Alco, G., et al.",2014,Replacement of tumor bed after oncoplastic breast-conserving surgery with immediate latissimus dorsi mini-flap.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): Oncoplastic breast-conserving surgery satisfies oncologic principles of negative margins and improves cosmetic outcomes, even if excision of a considerably large breast volume is required. During this surgical procedure quadrantectomy cavity is filled by the latissimus dorsi mini-flap which might shift tumor bed. The purpose of this study is to evaluate geographic variability after this procedure and its relevance to radiation therapy planning. Materials/Methods: Between April 2013-January 2014, 22 consecutive patients with early stage breast cancer are enrolled in this prospective study. Two sets of planning computed tomography (CT) scans were performed preoperatively and postoperatively with patients in the treatment position. Both CTs were fused superposing the chest walls. Preoperative tumor bed or excisional biopsy cavity was contoured with the same radiologist under guidance of diagnostic mammography, ultrasonography, and/ or magnetic resonance images. Postoperative lumpectomy cavities were contoured using surgical clips by the same radiation oncologist. Conformity index (CI) was calculated as the ratio of overlapping volume to encompassing delineated volume. CI was defined between 0 and 1, meaning no overlap if 0 and 100% concordance if 1. Paired samples t-test was performed to evaluate the changes in breast volumes. Results: The median interval between two scans was 90 days (range, 14- 170 days). Median age was 44 years (range, 29-69 years). The tumor was situated in the upper outer, retroareolar, lower outer, and lower inner quadrants in 16, 2, 2, and 2 patients, respectively. In 7 cases multifocality was present. Seven patients had excisional biopsy before the preoperative CT. Median pre and postoperative breast CTVs were 442 cc (range, 276- 1061 cc) vs 516 cc (range, 243-917 cc), respectively (p = 0.132). A median of 4 surgical clips (range, 2-6) were inserted during the surgery. Median preoperative tumor volume and postoperative lumpectomy cavity volumes were 6.6cc (range, 0.4-49 cc) and 22.95 cc (range, 6.2-102.2 cc), respectively. Median CI was 0.07 (in 5 cases 1, and in 8 cases 0). Median shifts between the center of volumes were 1.02 cm (range, 0.4-4.43 cm) in x, 1.07cm (range, 0.05-5.67 cm) in y, and 1.12cm (range, 0-3.75 cm) in z directions. Conclusions: Our study shows that the tumor bed is remarkably replaced after oncoplastic surgery with latissimus dorsi mini-flaps. Only in 5 of 22 cases, preoperative tumor bed and postoperative lumpectomy cavity were fully superposed. In remaining cases there were remarkable shifts between two volumes. Special care should be given for defining lumpectomy cavity in radiation therapy planning."
"Algan, O., et al.",1998,Use of the prone position in radiation treatment for women with early stage breast cancer.,International Journal of Radiation Oncology Biology Physics,"Purpose: The prone position has been advocated for women with large pendulous breasts undergoing breast-conserving treatment with radiation therapy. However, there is no information in the literature regarding the coverage of the target volume with this technique. The purpose of this study was to evaluate the effectiveness of the prone treatment position in including at least the biopsy cavity with a 2-cm margin. Methods and Materials: Eleven consecutive patients who underwent CT simulation in the prone position were included in this study. Patients underwent CT simulation in the prone position using a flat platform containing an aperture for the breast to hang through in a dependent fashion. CT slices were 5-mm thick taken at 3-mm intervals. The biopsy cavity was localized and outlined on sequential CT images using the surgical clips (when present) as well as the residual seroma. A 2-cm margin was included around the biopsy cavity to define the minimal target volume (mTV). Lateral fields were used for treatment planning. The beam arrangements were considered adequate if the mTV was totally included in the lateral fields. Results: Median age of the patient population was 55 years. Bra sizes ranged from 36A-44DD. The majority of patients had mammographically detected T1 lesions. Median volume of the biopsy cavity was 48 cm3. Five of 11 (45%) patients underwent reexcision of the biopsy cavity, and 6 of 11 (55%) had surgical clips placed in the biopsy cavity. Overall, 8 of 11 (73%) patients did not have the entire mTV included in the lateral opposed tangential fields in the prone position. This was especially true in patients whose biopsy cavity extended down to the chest wall. There were no other clinical factors that could predict for the adequacy of coverage in the prone position. Conclusion: Special attention must be paid to the location of the surgical clips to determine the proximity of the biopsy cavity to the chest wall, or CT simulation should be performed to determine the exact location of the biopsy cavity prior to selecting patients with large pendulous breasts for treatment in the prone position."
"Anderson, J., et al.",2019,Proton Beam Accelerated Partial-Breast Irradiation: Prospective Multi-Institutional PCG Registry Analysis.,International Journal of Radiation Oncology Biology Physics,"Purpose/Objective(s): To evaluate toxicities and clinical outcomes after accelerated partial breast irradiation (APBI) using proton beam therapy (PBT) for early breast cancer. Materials/Methods: In the prospective multi-institutional Proton Collaborative Group registry, 43 patients with 45 treated breasts (2 patients treated bilaterally) received proton APBI. Toxicities were prospectively evaluated using NCI Common Terminology Criteria for Adverse Events version 4.0. Toxicities were considered acute if they occurred within 6 months after starting PBT and late if they occurred or persisted beyond 6 months after starting PBT. Clinical data was obtained directly from patient charts. Luminal A was defined as ER/PR-positive, HER2-normal, Ki-67 <14%. Luminal B was defined as ER/PR-positive, HER2-normal, and Ki-67 ≥14%. Kaplan Meier curves were used to measure clinical outcomes. Statistical analysis was performed using a data and decision management software. Results: Median follow-up was 11.8 months (range 0-36.6). Median age was 67 (range 47 – 81). Median body mass index (BMI) was 29.3 (range 18.4 – 44.9). Histologic subtypes included: 11 Luminal A, 18 Luminal B, 3 triple-positive, 7 unspecified ER/PR-positive HER2-normal, and 6 DCIS. TNM stage included: 3 pTisNx, 3 pTisN0, 36 pT1N0, 1 ypT1N0, 1 pT1N1a, and 1 pT2N0. All invasive margins were negative. DCIS margins were < 2 mm in 5 cases (4 of whom also had invasive disease). Surgery included 45 lumpectomies and 2 re-excisions. One patient had implants, and one patient had neoadjuvant chemotherapy and HER-2 therapy. Median PBT dose was 40 Gy Relative Biologic Effectiveness (RBE) in 10 fractions. One patient withdrew after 16 Gy RBE. Proton technology included 76.7% uniform scanning, 18.6% pencil beam scanning, and 4.7% unreported. Adjuvant endocrine therapy was employed in 85%. Maximum toxicity was grade 2. Grade 2 toxicities included 1 patient with acute grade 2 lymphedema and 2 patients with late grade 2 dermatitis. Grade 1 toxicities included 32 patients with dermatitis, 10 with fatigue, 10 with pain, 4 with cough, 3 with pruritus, 2 with hyperpigmentation, 2 with nipple deformity, 1 with lymphedema, and 1 with skin induration. Eight patients (18.6%) had no radiation-related toxicities at time of last follow-up. No patient experienced local recurrence, metastasis, or death. Conclusion: Proton APBI was safe and well-tolerated. Only 7% of patients experienced grade 2 toxicity. Over 18% of patients experienced no radiation related toxicities at time of last follow-up."
